측정일자,지점명,방류구,생물화학적산소요구량,총유기탄소량,부유물질,총질소,총인,수소이온농도
2025-01-15,(샘플) 가람물재생센터,1,3.1,6.2,2.6,9.8,0.42,7.1
2025-02-15,(샘플) 가람물재생센터,1,2.8,5.8,2.2,9.1,0.38,7.2
2025-03-15,(샘플) 가람물재생센터,1,3.6,6.9,3.1,10.4,0.51,7.0
2025-04-15,(샘플) 가람물재생센터,1,4.2,8.1,3.8,11.2,0.63,6.9
2025-05-15,(샘플) 가람물재생센터,1,5.1,9.4,4.6,12.0,0.72,7.0
2025-06-15,(샘플) 가람물재생센터,1,6.8,11.6,6.2,13.4,0.94,6.8
2025-07-15,(샘플) 가람물재생센터,1,9.4,15.2,9.7,16.1,1.38,6.7
2025-08-15,(샘플) 가람물재생센터,1,8.6,14.1,8.4,15.3,1.21,6.8
2025-09-15,(샘플) 가람물재생센터,1,5.9,10.5,5.1,12.6,0.81,7.0
2025-10-15,(샘플) 가람물재생센터,1,4.0,7.8,3.4,10.9,0.57,7.1
2025-11-15,(샘플) 가람물재생센터,1,3.3,6.5,2.7,9.6,0.45,7.2
2025-12-15,(샘플) 가람물재생센터,1,2.9,6.0,2.3,9.0,0.39,7.3
2025-01-15,(샘플) 나루하수처리장,2,6.4,12.2,5.9,18.1,1.66,7.0
2025-02-15,(샘플) 나루하수처리장,2,6.1,11.7,5.5,17.6,1.61,7.1
2025-03-15,(샘플) 나루하수처리장,2,7.9,13.4,7.4,19.8,2.14,6.9
2025-04-15,(샘플) 나루하수처리장,2,9.6,15.9,9.2,22.7,2.68,6.8
2025-05-15,(샘플) 나루하수처리장,2,12.7,19.0,12.4,26.9,3.36,6.6
2025-06-15,(샘플) 나루하수처리장,2,18.2,24.9,17.1,29.8,3.92,6.2
2025-07-15,(샘플) 나루하수처리장,2,24.6,31.3,22.4,33.5,4.84,5.4
2025-08-15,(샘플) 나루하수처리장,2,21.3,28.1,19.8,31.4,4.63,5.9
2025-09-15,(샘플) 나루하수처리장,2,13.1,19.8,12.9,27.2,3.12,6.6
2025-10-15,(샘플) 나루하수처리장,2,9.2,15.1,8.7,23.0,2.79,6.9
2025-11-15,(샘플) 나루하수처리장,2,7.6,13.6,7.8,20.0,2.64,7.0
2025-12-15,(샘플) 나루하수처리장,2,6.2,11.9,5.6,17.5,1.6,7.1
